Test_ID,Print_Quality,Applied_Stress_MPa,k1,k2,primary_end_idx,secondary_end_idx,has_tertiary
H.10.3,High,9.659087042337331,3,3,,,False
H.10.3,High,9.659087042337331,3,4,,,False
H.10.3,High,9.659087042337331,3,5,,,False
H.10.3,High,9.659087042337331,4,2,,,False
H.10.3,High,9.659087042337331,4,3,,,False
H.10.3,High,9.659087042337331,4,4,,,False
H.10.3,High,9.659087042337331,4,5,,,False
H.10.3,High,9.659087042337331,5,2,,,False
H.10.3,High,9.659087042337331,5,3,,,False
H.10.3,High,9.659087042337331,5,4,,,False
H.10.3,High,9.659087042337331,5,5,,,False
H.20.3,High,19.01596351197264,2,2,,,False
H.20.3,High,19.01596351197264,2,3,,,False
H.20.3,High,19.01596351197264,2,4,,,False
H.20.3,High,19.01596351197264,2,5,,,False
H.20.3,High,19.01596351197264,3,2,,,False
H.20.3,High,19.01596351197264,3,3,,,False
H.20.3,High,19.01596351197264,3,4,,,False
H.20.3,High,19.01596351197264,3,5,,,False
H.20.3,High,19.01596351197264,4,2,,,False
H.20.3,High,19.01596351197264,4,3,,,False
H.20.3,High,19.01596351197264,4,4,,,False
H.20.3,High,19.01596351197264,4,5,,,False
H.20.3,High,19.01596351197264,5,2,,,False
H.20.3,High,19.01596351197264,5,3,,,False
H.20.3,High,19.01596351197264,5,4,,,False
H.20.3,High,19.01596351197264,5,5,,,False
S.30.1,Standard,29.81453689934905,2,2,1.0,104.0,True
S.30.1,Standard,29.81453689934905,2,3,1.0,311.0,True
S.30.1,Standard,29.81453689934905,2,4,1.0,384.0,True
S.30.1,Standard,29.81453689934905,2,5,1.0,384.0,True
S.30.1,Standard,29.81453689934905,3,2,48.0,104.0,True
S.30.1,Standard,29.81453689934905,3,3,48.0,311.0,True
S.30.1,Standard,29.81453689934905,3,4,48.0,384.0,True
S.30.1,Standard,29.81453689934905,3,5,48.0,384.0,True
S.30.1,Standard,29.81453689934905,4,2,104.0,236.0,True
S.30.1,Standard,29.81453689934905,4,3,104.0,311.0,True
S.30.1,Standard,29.81453689934905,4,4,104.0,384.0,True
S.30.1,Standard,29.81453689934905,4,5,104.0,384.0,True
S.30.1,Standard,29.81453689934905,5,2,176.0,311.0,True
S.30.1,Standard,29.81453689934905,5,3,176.0,311.0,True
S.30.1,Standard,29.81453689934905,5,4,176.0,384.0,True
S.30.1,Standard,29.81453689934905,5,5,176.0,384.0,True
S.30.2,Standard,29.786964768139335,2,2,2.0,40.0,True
S.30.2,Standard,29.786964768139335,2,3,2.0,107.0,True
S.30.2,Standard,29.786964768139335,2,4,2.0,459.0,False
S.30.2,Standard,29.786964768139335,2,5,2.0,459.0,False
S.30.2,Standard,29.786964768139335,3,2,93.0,146.0,True
S.30.2,Standard,29.786964768139335,3,3,93.0,176.0,True
S.30.2,Standard,29.786964768139335,3,4,93.0,459.0,False
S.30.2,Standard,29.786964768139335,3,5,93.0,459.0,False
S.30.2,Standard,29.786964768139335,4,2,93.0,146.0,True
S.30.2,Standard,29.786964768139335,4,3,93.0,176.0,True
S.30.2,Standard,29.786964768139335,4,4,93.0,459.0,False
S.30.2,Standard,29.786964768139335,4,5,93.0,459.0,False
S.30.2,Standard,29.786964768139335,5,2,301.0,349.0,True
S.30.2,Standard,29.786964768139335,5,3,301.0,403.0,True
S.30.2,Standard,29.786964768139335,5,4,301.0,459.0,False
S.30.2,Standard,29.786964768139335,5,5,301.0,459.0,False
H.30.3,High,29.042763157894747,2,2,48.0,118.0,True
H.30.3,High,29.042763157894747,2,3,48.0,256.0,True
H.30.3,High,29.042763157894747,2,4,48.0,256.0,True
H.30.3,High,29.042763157894747,2,5,48.0,488.0,True
H.30.3,High,29.042763157894747,3,2,118.0,188.0,True
H.30.3,High,29.042763157894747,3,3,118.0,256.0,True
H.30.3,High,29.042763157894747,3,4,118.0,256.0,True
H.30.3,High,29.042763157894747,3,5,118.0,488.0,True
H.30.3,High,29.042763157894747,4,2,118.0,256.0,True
H.30.3,High,29.042763157894747,4,3,118.0,256.0,True
H.30.3,High,29.042763157894747,4,4,118.0,256.0,True
H.30.3,High,29.042763157894747,4,5,118.0,488.0,True
H.30.3,High,29.042763157894747,5,2,118.0,256.0,True
H.30.3,High,29.042763157894747,5,3,118.0,256.0,True
H.30.3,High,29.042763157894747,5,4,118.0,256.0,True
H.30.3,High,29.042763157894747,5,5,118.0,488.0,True
S.10.3,Standard,9.870535588110604,2,2,,,False
S.10.3,Standard,9.870535588110604,2,3,,,False
S.10.3,Standard,9.870535588110604,2,4,,,False
S.10.3,Standard,9.870535588110604,2,5,,,False
S.10.3,Standard,9.870535588110604,3,2,,,False
S.10.3,Standard,9.870535588110604,3,3,,,False
S.10.3,Standard,9.870535588110604,3,4,,,False
S.10.3,Standard,9.870535588110604,3,5,,,False
S.10.3,Standard,9.870535588110604,4,2,,,False
S.10.3,Standard,9.870535588110604,4,3,,,False
S.10.3,Standard,9.870535588110604,4,4,,,False
S.10.3,Standard,9.870535588110604,4,5,,,False
S.10.3,Standard,9.870535588110604,5,2,,,False
S.10.3,Standard,9.870535588110604,5,3,,,False
S.10.3,Standard,9.870535588110604,5,4,,,False
S.10.3,Standard,9.870535588110604,5,5,,,False
H.20.4,High,19.1886240276145,2,2,222.0,464.0,False
H.20.4,High,19.1886240276145,2,3,222.0,464.0,False
H.20.4,High,19.1886240276145,2,4,222.0,464.0,False
H.20.4,High,19.1886240276145,2,5,222.0,464.0,False
H.20.4,High,19.1886240276145,3,2,222.0,464.0,False
H.20.4,High,19.1886240276145,3,3,222.0,464.0,False
H.20.4,High,19.1886240276145,3,4,222.0,464.0,False
H.20.4,High,19.1886240276145,3,5,222.0,464.0,False
H.20.4,High,19.1886240276145,4,2,,,False
H.20.4,High,19.1886240276145,4,3,,,False
H.20.4,High,19.1886240276145,4,4,,,False
H.20.4,High,19.1886240276145,4,5,,,False
H.20.4,High,19.1886240276145,5,2,,,False
H.20.4,High,19.1886240276145,5,3,,,False
H.20.4,High,19.1886240276145,5,4,,,False
H.20.4,High,19.1886240276145,5,5,,,False
S.30.3,Standard,30.599216245101534,2,2,161.0,486.0,False
S.30.3,Standard,30.599216245101534,2,3,161.0,486.0,False
S.30.3,Standard,30.599216245101534,2,4,161.0,486.0,False
S.30.3,Standard,30.599216245101534,2,5,161.0,486.0,False
S.30.3,Standard,30.599216245101534,3,2,161.0,486.0,False
S.30.3,Standard,30.599216245101534,3,3,161.0,486.0,False
S.30.3,Standard,30.599216245101534,3,4,161.0,486.0,False
S.30.3,Standard,30.599216245101534,3,5,161.0,486.0,False
S.30.3,Standard,30.599216245101534,4,2,,,False
S.30.3,Standard,30.599216245101534,4,3,,,False
S.30.3,Standard,30.599216245101534,4,4,,,False
S.30.3,Standard,30.599216245101534,4,5,,,False
S.30.3,Standard,30.599216245101534,5,2,,,False
S.30.3,Standard,30.599216245101534,5,3,,,False
S.30.3,Standard,30.599216245101534,5,4,,,False
S.30.3,Standard,30.599216245101534,5,5,,,False
S.20.4,Standard,20.108044350082572,2,2,,,False
S.20.4,Standard,20.108044350082572,2,3,,,False
S.20.4,Standard,20.108044350082572,2,4,,,False
S.20.4,Standard,20.108044350082572,2,5,,,False
S.20.4,Standard,20.108044350082572,3,2,,,False
S.20.4,Standard,20.108044350082572,3,3,,,False
S.20.4,Standard,20.108044350082572,3,4,,,False
S.20.4,Standard,20.108044350082572,3,5,,,False
S.20.4,Standard,20.108044350082572,4,2,,,False
S.20.4,Standard,20.108044350082572,4,3,,,False
S.20.4,Standard,20.108044350082572,4,4,,,False
S.20.4,Standard,20.108044350082572,4,5,,,False
S.20.4,Standard,20.108044350082572,5,2,,,False
S.20.4,Standard,20.108044350082572,5,3,,,False
S.20.4,Standard,20.108044350082572,5,4,,,False
S.20.4,Standard,20.108044350082572,5,5,,,False
S.30.4,Standard,30.07930063943761,2,2,280.0,433.0,False
S.30.4,Standard,30.07930063943761,2,3,280.0,433.0,False
S.30.4,Standard,30.07930063943761,2,4,280.0,433.0,False
S.30.4,Standard,30.07930063943761,2,5,280.0,433.0,False
S.30.4,Standard,30.07930063943761,3,2,,,False
S.30.4,Standard,30.07930063943761,3,3,,,False
S.30.4,Standard,30.07930063943761,3,4,,,False
S.30.4,Standard,30.07930063943761,3,5,,,False
S.30.4,Standard,30.07930063943761,4,2,,,False
S.30.4,Standard,30.07930063943761,4,3,,,False
S.30.4,Standard,30.07930063943761,4,4,,,False
S.30.4,Standard,30.07930063943761,4,5,,,False
S.30.4,Standard,30.07930063943761,5,2,,,False
S.30.4,Standard,30.07930063943761,5,3,,,False
S.30.4,Standard,30.07930063943761,5,4,,,False
S.30.4,Standard,30.07930063943761,5,5,,,False
S.10.4,Standard,9.842842989887947,2,2,,,False
S.10.4,Standard,9.842842989887947,2,3,,,False
S.10.4,Standard,9.842842989887947,2,4,,,False
S.10.4,Standard,9.842842989887947,2,5,,,False
S.10.4,Standard,9.842842989887947,3,2,,,False
S.10.4,Standard,9.842842989887947,3,3,,,False
S.10.4,Standard,9.842842989887947,3,4,,,False
S.10.4,Standard,9.842842989887947,3,5,,,False
S.10.4,Standard,9.842842989887947,4,2,,,False
S.10.4,Standard,9.842842989887947,4,3,,,False
S.10.4,Standard,9.842842989887947,4,4,,,False
S.10.4,Standard,9.842842989887947,4,5,,,False
S.10.4,Standard,9.842842989887947,5,2,,,False
S.10.4,Standard,9.842842989887947,5,3,,,False
S.10.4,Standard,9.842842989887947,5,4,,,False
S.10.4,Standard,9.842842989887947,5,5,,,False
H.30.4,High,29.078207807406173,2,2,,,False
H.30.4,High,29.078207807406173,2,3,,,False
H.30.4,High,29.078207807406173,2,4,,,False
H.30.4,High,29.078207807406173,2,5,,,False
H.30.4,High,29.078207807406173,3,2,,,False
H.30.4,High,29.078207807406173,3,3,,,False
H.30.4,High,29.078207807406173,3,4,,,False
H.30.4,High,29.078207807406173,3,5,,,False
H.30.4,High,29.078207807406173,4,2,,,False
H.30.4,High,29.078207807406173,4,3,,,False
H.30.4,High,29.078207807406173,4,4,,,False
H.30.4,High,29.078207807406173,4,5,,,False
H.30.4,High,29.078207807406173,5,2,,,False
H.30.4,High,29.078207807406173,5,3,,,False
H.30.4,High,29.078207807406173,5,4,,,False
H.30.4,High,29.078207807406173,5,5,,,False
H.10.4,High,9.587810569663693,2,2,,,False
H.10.4,High,9.587810569663693,2,3,,,False
H.10.4,High,9.587810569663693,2,4,,,False
H.10.4,High,9.587810569663693,2,5,,,False
H.10.4,High,9.587810569663693,3,2,,,False
H.10.4,High,9.587810569663693,3,3,,,False
H.10.4,High,9.587810569663693,3,4,,,False
H.10.4,High,9.587810569663693,3,5,,,False
H.10.4,High,9.587810569663693,4,2,,,False
H.10.4,High,9.587810569663693,4,3,,,False
H.10.4,High,9.587810569663693,4,4,,,False
H.10.4,High,9.587810569663693,4,5,,,False
H.10.4,High,9.587810569663693,5,2,,,False
H.10.4,High,9.587810569663693,5,3,,,False
H.10.4,High,9.587810569663693,5,4,,,False
H.10.4,High,9.587810569663693,5,5,,,False
